id,timestamp,amount,type,category,description,account_balance,business_type,tags
TXN-1972B42C228D,2026-03-28T16:29:51,831.82,CREDIT,online_sales,Online cart,306425.55,retailer,"sale,peak_day"
TXN-D7E016141F49,2026-03-28T16:33:49,528.5,CREDIT,returns_received,Supplier credit note,303064.65,retailer,"sale,peak_day"
TXN-0CE0863ADB0E,2026-03-28T16:37:20,614.42,CREDIT,product_sales,In-store sales,304682.72,retailer,"sale,peak_day"
TXN-A4FBEC2372C0,2026-03-28T16:51:09,342.75,CREDIT,online_sales,Shopify order,298955.12,retailer,"sale,peak_day"
TXN-CB904FC6457B,2026-03-28T17:22:19,160.6,CREDIT,online_sales,Website checkout,298158.23,retailer,"sale,peak_day"
TXN-33466D8FFAFF,2026-03-28T17:28:38,35.78,CREDIT,product_sales,Walk-in customer,296911.22,retailer,"sale,peak_day"
TXN-E46D0E3FC022,2026-03-28T17:29:24,480.23,CREDIT,online_sales,Shopify order,296504.36,retailer,"sale,peak_day"
TXN-7156E685A43D,2026-03-28T17:36:46,260.11,CREDIT,returns_received,Return from vendor,303506.1,retailer,"sale,peak_day"
TXN-2CECA5D01B44,2026-03-28T17:37:00,462.58,DEBIT,maintenance,Plumbing repair,306595.23,retailer,expense
TXN-3AD79239890D,2026-03-28T17:45:00,382.79,CREDIT,product_sales,Counter sale,295731.12,retailer,"sale,peak_day"
TXN-C49494CB511E,2026-03-28T18:38:09,371.08,CREDIT,product_sales,In-store sales,296875.44,retailer,"sale,peak_day"
TXN-3788309256DA,2026-03-28T18:45:04,541.94,CREDIT,bulk_order,Wholesale order,299959.3,retailer,"sale,peak_day"
TXN-B890CEABCA4A,2026-03-28T20:39:41,471.9,CREDIT,returns_received,Supplier credit note,294382.61,retailer,"sale,peak_day"
TXN-7EFEDA852615,2026-03-28T20:49:00,483.31,CREDIT,product_sales,POS transaction,302536.15,retailer,"sale,peak_day"
TXN-C1AE0FB66E82,2026-03-29T08:19:06,245.25,CREDIT,bulk_order,Wholesale order,323794.08,retailer,"sale,peak_day"
TXN-E847B20C7300,2026-03-29T08:27:52,280.98,CREDIT,returns_received,Supplier credit note,312922.43,retailer,"sale,peak_day"
TXN-F741015AA28C,2026-03-29T09:15:11,769.95,CREDIT,online_sales,Website checkout,313692.38,retailer,"sale,peak_day"
TXN-2F83EA9C361A,2026-03-29T09:18:10,766.03,CREDIT,online_sales,Shopify order,320175.96,retailer,"sale,peak_day"
TXN-EA349697DD15,2026-03-29T09:40:36,316.24,CREDIT,online_sales,Shopify order,328591.02,retailer,"sale,peak_day"
TXN-54A24B3BA94A,2026-03-29T09:49:00,97.53,DEBIT,maintenance,AC servicing,326773.09,retailer,expense
TXN-1D350598D1D7,2026-03-29T10:06:09,491.77,CREDIT,online_sales,Online cart,326173.48,retailer,"sale,peak_day"
TXN-A3A7999A599C,2026-03-29T10:14:24,40.5,CREDIT,online_sales,Website checkout,315071.64,retailer,"sale,peak_day"
TXN-3C6DBDB31406,2026-03-29T10:30:28,64.47,CREDIT,bulk_order,Wholesale order,315136.11,retailer,"sale,peak_day"
TXN-F340697E2BCD,2026-03-29T10:32:23,303.19,CREDIT,online_sales,Shopify order,310133.53,retailer,"sale,peak_day"
TXN-D4EA9CA3D66D,2026-03-29T10:50:00,106.26,DEBIT,inventory_purchase,Stock order #TXN-4BAB,329350.79,retailer,"expense,inventory_order"
TXN-BEF3C31C401F,2026-03-29T11:18:29,385.82,CREDIT,online_sales,Shopify order,311406.08,retailer,"sale,peak_day"
TXN-984098EBA185,2026-03-29T11:27:00,1658.82,DEBIT,logistics,Shipping cost,327691.97,retailer,expense
TXN-6A31918AC2B8,2026-03-29T11:27:50,261.89,CREDIT,bulk_order,Wholesale order,315854.96,retailer,"sale,peak_day"
TXN-A5FAAE2AE066,2026-03-29T11:42:29,522.03,CREDIT,returns_received,Supplier credit note,327563.71,retailer,"sale,peak_day"
TXN-D902CF5802F4,2026-03-29T11:53:42,833.69,CREDIT,bulk_order,Corporate purchase,315031.14,retailer,"sale,peak_day"
TXN-967A25222855,2026-03-29T12:27:07,126.29,CREDIT,product_sales,In-store sales,324350.92,retailer,"sale,peak_day"
TXN-2B337EFDB07B,2026-03-29T12:58:32,647.51,CREDIT,returns_received,Return from vendor,318863.12,retailer,"sale,peak_day"
TXN-A29A9D01D464,2026-03-29T13:32:54,196.3,CREDIT,product_sales,Counter sale,316051.26,retailer,"sale,peak_day"
TXN-704DC32CA666,2026-03-29T13:34:43,710.58,CREDIT,bulk_order,Wholesale order,325681.71,retailer,"sale,peak_day"
TXN-AB33BE66FAA7,2026-03-29T13:38:50,790.53,CREDIT,bulk_order,Wholesale order,316926.07,retailer,"sale,peak_day"
TXN-1D4B48894108,2026-03-29T14:09:17,10.0,CREDIT,bulk_order,Bulk purchase - B2B,321648.28,retailer,"sale,peak_day"
TXN-466CBEB70E69,2026-03-29T14:17:22,446.8,CREDIT,bulk_order,Bulk purchase - B2B,318215.61,retailer,"sale,peak_day"
TXN-4C7171A75B90,2026-03-29T14:21:02,479.09,CREDIT,product_sales,Walk-in customer,307532.45,retailer,"sale,peak_day"
TXN-B84380FE2129,2026-03-29T14:21:36,185.91,CREDIT,returns_received,Supplier credit note,324971.13,retailer,"sale,peak_day"
TXN-3C413BC59D67,2026-03-29T15:06:57,683.9,CREDIT,product_sales,Walk-in customer,320859.86,retailer,"sale,peak_day"
TXN-224366FB7DC5,2026-03-29T15:15:31,61.27,CREDIT,product_sales,POS transaction,305944.7,retailer,"sale,peak_day"
TXN-4C5E3032814D,2026-03-29T15:39:10,405.48,CREDIT,bulk_order,Bulk purchase - B2B,328274.78,retailer,"sale,peak_day"
TXN-07DB212EF5B3,2026-03-29T15:40:50,452.8,CREDIT,bulk_order,Bulk purchase - B2B,309657.3,retailer,"sale,peak_day"
TXN-094E4971F11E,2026-03-29T15:59:33,305.59,CREDIT,online_sales,Amazon marketplace,327869.3,retailer,"sale,peak_day"
TXN-1BEC01131065,2026-03-29T16:19:19,808.51,CREDIT,product_sales,Counter sale,308340.96,retailer,"sale,peak_day"
TXN-1F1A285D662A,2026-03-29T16:26:58,270.74,CREDIT,online_sales,Online cart,311020.26,retailer,"sale,peak_day"
TXN-439E8C9AA33C,2026-03-29T16:35:54,146.83,CREDIT,product_sales,In-store sales,322944.28,retailer,"sale,peak_day"
TXN-E5F4E0F3E00C,2026-03-29T16:51:01,147.58,CREDIT,online_sales,Online cart,312063.5,retailer,"sale,peak_day"
TXN-E78301CD3266,2026-03-29T16:57:42,505.07,CREDIT,bulk_order,Corporate purchase,314197.45,retailer,"sale,peak_day"
TXN-4BAA567E3AEB,2026-03-29T17:07:57,868.2,CREDIT,returns_received,Supplier credit note,327041.68,retailer,"sale,peak_day"
TXN-69B6DF034838,2026-03-29T17:11:12,456.96,CREDIT,product_sales,Walk-in customer,315593.07,retailer,"sale,peak_day"
TXN-CED8198059AE,2026-03-29T17:17:37,180.38,CREDIT,product_sales,In-store sales,310446.39,retailer,"sale,peak_day"
TXN-0FEA8D6B2D9E,2026-03-29T17:50:55,406.02,CREDIT,online_sales,Shopify order,311812.1,retailer,"sale,peak_day"
TXN-50D7713ED4CC,2026-03-29T17:51:58,705.83,CREDIT,returns_received,Supplier credit note,306650.53,retailer,"sale,peak_day"
TXN-B04C808C3720,2026-03-29T18:18:00,821.35,DEBIT,inventory_purchase,Stock order #TXN-E44A,326870.62,retailer,"expense,inventory_order"
TXN-44BF323249E8,2026-03-29T18:22:24,430.55,CREDIT,returns_received,Return from vendor,324224.63,retailer,"sale,peak_day"
TXN-1AD4C3E1B022,2026-03-29T18:40:24,282.76,CREDIT,product_sales,In-store sales,317208.83,retailer,"sale,peak_day"
TXN-7080E6DB90B8,2026-03-29T18:54:59,285.07,CREDIT,bulk_order,Bulk purchase - B2B,309204.5,retailer,"sale,peak_day"
TXN-25BD050508E6,2026-03-29T18:56:05,81.21,CREDIT,product_sales,POS transaction,329457.05,retailer,"sale,peak_day"
TXN-91AF1F2A30AA,2026-03-29T19:01:30,303.13,CREDIT,product_sales,Walk-in customer,310749.52,retailer,"sale,peak_day"
TXN-99E15DB3B950,2026-03-29T19:13:20,501.15,CREDIT,bulk_order,Bulk purchase - B2B,329183.64,retailer,"sale,peak_day"
TXN-203A039B7E26,2026-03-29T19:26:45,434.3,CREDIT,bulk_order,Wholesale order,324785.22,retailer,"sale,peak_day"
TXN-A51C0077B2E2,2026-03-29T19:29:27,84.28,CREDIT,online_sales,Shopify order,316135.54,retailer,"sale,peak_day"
TXN-435B6603DCA5,2026-03-29T19:32:48,546.81,CREDIT,returns_received,Return from vendor,319409.93,retailer,"sale,peak_day"
TXN-69450B6F77B3,2026-03-29T19:36:00,577.95,CREDIT,product_sales,In-store sales,312641.45,retailer,"sale,peak_day"
TXN-1506C02CBA2E,2026-03-29T19:46:47,132.48,CREDIT,product_sales,Walk-in customer,310266.01,retailer,"sale,peak_day"
TXN-47B38273067B,2026-03-29T19:47:29,563.3,CREDIT,online_sales,Shopify order,322211.58,retailer,"sale,peak_day"
TXN-F50C93ACCDD1,2026-03-29T19:50:19,559.98,CREDIT,returns_received,Return from vendor,317768.81,retailer,"sale,peak_day"
TXN-F414396F75FD,2026-03-29T20:00:50,103.82,CREDIT,online_sales,Shopify order,311915.92,retailer,"sale,peak_day"
TXN-ED81F5F52F5B,2026-03-29T20:01:14,91.47,CREDIT,product_sales,POS transaction,328682.49,retailer,"sale,peak_day"
TXN-8CB2A6495257,2026-03-29T20:01:46,147.01,CREDIT,returns_received,Supplier credit note,308487.97,retailer,"sale,peak_day"
TXN-1AA56DEDA303,2026-03-29T20:03:41,604.55,CREDIT,product_sales,Counter sale,323548.83,retailer,"sale,peak_day"
TXN-B94E0929D9B3,2026-03-29T20:05:29,402.83,CREDIT,bulk_order,Bulk purchase - B2B,307053.36,retailer,"sale,peak_day"
TXN-E7940FA8BF1B,2026-03-29T20:16:13,778.42,CREDIT,online_sales,Amazon marketplace,321638.28,retailer,"sale,peak_day"
TXN-057FA7D8A80B,2026-03-29T20:19:38,192.2,CREDIT,bulk_order,Corporate purchase,329375.84,retailer,"sale,peak_day"
TXN-3659755822E6,2026-03-29T20:23:56,431.46,CREDIT,bulk_order,Corporate purchase,308919.43,retailer,"sale,peak_day"
TXN-0ED4AD3ED7F6,2026-03-29T20:24:59,585.87,CREDIT,bulk_order,Wholesale order,322797.45,retailer,"sale,peak_day"
TXN-668D3DB29D61,2026-03-29T20:27:19,173.04,CREDIT,online_sales,Website checkout,309830.34,retailer,"sale,peak_day"
TXN-51AE37058456,2026-03-30T08:04:47,527.37,CREDIT,bulk_order,Wholesale order,329709.68,retailer,sale
TXN-FEB3C8154CB7,2026-03-30T08:04:52,213.76,CREDIT,bulk_order,Corporate purchase,340694.32,retailer,sale
TXN-F760889008EC,2026-03-30T08:22:00,712.95,CREDIT,online_sales,Website checkout,332319.53,retailer,sale
TXN-45441AA49556,2026-03-30T08:27:52,258.03,CREDIT,product_sales,Counter sale,332577.56,retailer,sale
TXN-AFAE186DD78E,2026-03-30T09:27:20,129.36,CREDIT,bulk_order,Wholesale order,338682.98,retailer,sale
TXN-62159AF915BB,2026-03-30T09:54:13,339.7,CREDIT,product_sales,In-store sales,336618.04,retailer,sale
TXN-0B9A17BF449B,2026-03-30T10:15:06,299.42,CREDIT,online_sales,Shopify order,336278.34,retailer,sale
TXN-2DD986B4D0BB,2026-03-30T10:23:53,623.94,CREDIT,product_sales,POS transaction,331041.87,retailer,sale
TXN-DCDAC3517E54,2026-03-30T10:57:35,466.52,CREDIT,returns_received,Supplier credit note,327239.61,retailer,sale
TXN-3DD9D127D881,2026-03-30T11:20:15,564.71,CREDIT,product_sales,Counter sale,331606.58,retailer,sale
TXN-6651DD154557,2026-03-30T11:39:13,342.15,CREDIT,online_sales,Website checkout,332919.71,retailer,sale
TXN-1F77EDF1C475,2026-03-30T12:19:45,104.23,CREDIT,product_sales,In-store sales,340798.55,retailer,sale
TXN-34FFEA46B4C5,2026-03-30T12:22:29,777.19,CREDIT,returns_received,Return from vendor,334506.78,retailer,sale
TXN-3F4D91C9ECCA,2026-03-30T12:41:21,475.86,CREDIT,online_sales,Shopify order,335562.66,retailer,sale
TXN-03A16D821AE0,2026-03-30T12:51:32,450.93,CREDIT,returns_received,Supplier credit note,330160.61,retailer,sale
TXN-FFA4C58F0D2B,2026-03-30T12:52:00,251.81,DEBIT,inventory_purchase,Stock order #TXN-58F9,340652.11,retailer,"expense,inventory_order"
TXN-AC59B72564B6,2026-03-30T13:11:59,258.32,CREDIT,online_sales,Shopify order,338553.62,retailer,sale
TXN-C9F239599BD4,2026-03-30T13:14:18,100.53,CREDIT,bulk_order,Wholesale order,339140.2,retailer,sale
TXN-520AF42B682E,2026-03-30T13:51:43,580.02,CREDIT,product_sales,POS transaction,335086.8,retailer,sale
TXN-D3D180C73887,2026-03-30T13:56:00,743.82,DEBIT,marketing,Influencer payment,339024.02,retailer,expense
TXN-CDB6ABB7EA4F,2026-03-30T14:45:16,910.96,CREDIT,returns_received,Supplier credit note,337529.0,retailer,sale
TXN-CCEB22E12BAB,2026-03-30T16:04:10,571.81,CREDIT,bulk_order,Corporate purchase,328400.03,retailer,sale
TXN-5AE7BC0CA253,2026-03-30T16:13:54,566.65,CREDIT,returns_received,Supplier credit note,328966.68,retailer,sale
TXN-45B39C1C5970,2026-03-30T16:22:59,172.27,CREDIT,returns_received,Return from vendor,335734.93,retailer,sale
TXN-76D253FC7C1F,2026-03-30T16:57:29,612.79,CREDIT,product_sales,Counter sale,339897.65,retailer,sale
TXN-EE2472CF185C,2026-03-30T17:04:35,809.88,CREDIT,returns_received,Return from vendor,333729.59,retailer,sale
TXN-D0EA9DB75F67,2026-03-30T17:10:00,1193.22,DEBIT,utilities,Gas bill,337830.8,retailer,expense
TXN-00EAAE0B22EE,2026-03-30T17:41:28,105.37,CREDIT,online_sales,Online cart,340903.92,retailer,sale
TXN-93AF01A71E40,2026-03-30T17:58:19,582.91,CREDIT,online_sales,Amazon marketplace,340480.56,retailer,sale
TXN-D0751CBD630B,2026-03-30T17:58:49,766.3,CREDIT,online_sales,Shopify order,338295.3,retailer,sale
TXN-8537C2D491E2,2026-03-30T18:12:00,243.99,CREDIT,product_sales,In-store sales,335978.92,retailer,sale
TXN-AA4313448C15,2026-03-30T18:14:23,356.69,CREDIT,online_sales,Amazon marketplace,339039.67,retailer,sale
TXN-AC811F500FE8,2026-03-30T18:30:24,215.63,CREDIT,bulk_order,Bulk purchase - B2B,329182.31,retailer,sale
TXN-0330A73BDE48,2026-03-30T18:43:00,884.27,DEBIT,utilities,Electricity bill,339767.84,retailer,expense
TXN-610CB4A5B8CD,2026-03-30T19:53:24,588.61,CREDIT,bulk_order,Wholesale order,327828.22,retailer,sale
TXN-DBFF7ACE5684,2026-03-30T20:31:58,257.32,CREDIT,online_sales,Shopify order,330417.93,retailer,sale
TXN-49F354613B3B,2026-03-30T20:32:04,144.66,CREDIT,product_sales,Walk-in customer,339284.86,retailer,sale
TXN-5878723F8291,2026-03-31T08:35:00,670.09,DEBIT,marketing,Google Ads,337406.54,retailer,expense
TXN-60A94252FBD0,2026-03-31T08:45:00,139.22,DEBIT,logistics,Courier charges,338076.63,retailer,expense
TXN-EA398594002E,2026-03-31T14:21:00,1008.98,DEBIT,marketing,Facebook Ads,336397.56,retailer,expense
TXN-F94268E6A4EF,2026-03-31T19:07:20,385.05,CREDIT,online_sales,Shopify order,338215.85,retailer,sale
TXN-1EFCDAB7744F,2026-04-01T05:33:00,2999.0,DEBIT,subscriptions,Shopify subscription,164486.09,retailer,"subscription,recurring"
TXN-324A46FF5C27,2026-04-01T08:54:15,191.32,CREDIT,returns_received,Supplier credit note,169221.72,retailer,sale
TXN-21F2EFD08825,2026-04-01T09:19:30,453.81,CREDIT,returns_received,Return from vendor,162542.83,retailer,sale
TXN-D979695D0BAE,2026-04-01T09:32:00,45879.1,DEBIT,rent,Rent - Apr 2026,290518.46,retailer,"recurring,fixed_cost"
TXN-F288A87A0EE4,2026-04-01T09:57:16,506.66,CREDIT,online_sales,Website checkout,168923.5,retailer,sale
TXN-6B41DAA34165,2026-04-01T10:09:31,307.59,CREDIT,online_sales,Shopify order,165297.73,retailer,sale
TXN-CA3AD4E3497C,2026-04-01T10:43:50,615.5,CREDIT,online_sales,Online cart,166881.24,retailer,sale
TXN-E01D7C0D4F04,2026-04-01T11:13:00,540.3,DEBIT,maintenance,AC servicing,169744.84,retailer,expense
TXN-ECE9A66A30D7,2026-04-01T11:44:54,258.88,CREDIT,returns_received,Return from vendor,162801.71,retailer,sale
TXN-D09EBBF8D76A,2026-04-01T11:50:00,548.33,CREDIT,online_sales,Website checkout,164795.8,retailer,sale
TXN-5EAEBD364540,2026-04-01T12:06:00,749.26,DEBIT,marketing,Influencer payment,168289.68,retailer,expense
TXN-FD4B4BEDBE5A,2026-04-01T12:34:28,202.25,CREDIT,online_sales,Shopify order,165499.98,retailer,sale
TXN-2AF2D05ED471,2026-04-01T13:06:22,577.6,CREDIT,product_sales,In-store sales,162089.02,retailer,sale
TXN-6DC3051BB56B,2026-04-01T13:36:06,550.8,CREDIT,product_sales,Counter sale,167546.84,retailer,sale
TXN-7F32A9EAAE3E,2026-04-01T14:09:27,765.76,CREDIT,bulk_order,Wholesale order,166265.74,retailer,sale
TXN-FA4B789F613D,2026-04-01T14:14:35,464.36,CREDIT,product_sales,In-store sales,170285.14,retailer,sale
TXN-387203FAB0EF,2026-04-01T14:16:14,484.76,CREDIT,returns_received,Return from vendor,163286.47,retailer,sale
TXN-2E6EB4E7531D,2026-04-01T14:51:18,870.0,CREDIT,bulk_order,Corporate purchase,168416.84,retailer,sale
TXN-1CC34C16062B,2026-04-01T15:47:49,106.9,CREDIT,online_sales,Shopify order,169030.4,retailer,sale
TXN-2F947FDBC6EE,2026-04-01T16:47:58,523.33,CREDIT,bulk_order,Bulk purchase - B2B,161511.42,retailer,sale
TXN-D484BCEF9018,2026-04-01T17:04:55,377.53,CREDIT,returns_received,Return from vendor,163674.0,retailer,sale
TXN-C69BEB8F7103,2026-04-01T17:17:00,599.06,CREDIT,bulk_order,Corporate purchase,169820.78,retailer,sale
TXN-4A81AA07DE03,2026-04-01T17:26:24,277.04,CREDIT,bulk_order,Bulk purchase - B2B,164247.47,retailer,sale
TXN-BB6117C40168,2026-04-01T17:43:41,296.43,CREDIT,bulk_order,Corporate purchase,163970.43,retailer,sale
TXN-83D03340B37C,2026-04-01T17:49:00,705.9,DEBIT,logistics,Shipping cost,169038.94,retailer,expense
TXN-89F9CDAF88D0,2026-04-01T18:29:00,1096.03,DEBIT,marketing,Google Ads,167193.65,retailer,expense
TXN-838CF9E8DEB8,2026-04-01T19:12:16,194.34,CREDIT,returns_received,Return from vendor,164990.14,retailer,sale
TXN-97653D4424DA,2026-04-01T20:23:56,114.8,CREDIT,returns_received,Return from vendor,166996.04,retailer,sale
TXN-A23A77651EDD,2026-04-01T20:36:19,10.0,CREDIT,online_sales,Online cart,163296.47,retailer,sale
TXN-3606B38565FD,2026-04-05T10:56:00,1805.86,DEBIT,pos_fees,Pos Fees - Apr 2026,167485.09,retailer,"recurring,fixed_cost"
TXN-3FC967352F13,2026-04-10T01:00:00,1499.0,DEBIT,subscriptions,QuickBooks subscription,162987.09,retailer,"subscription,recurring"
TXN-332869255BB8,2026-04-15T11:36:00,3540.42,DEBIT,insurance,Insurance - Apr 2026,169290.95,retailer,"recurring,fixed_cost"
TXN-53788A776EFC,2026-04-20T02:02:00,799.0,DEBIT,subscriptions,Slack subscription,162188.09,retailer,"subscription,recurring"
TXN-EF81C5EEA5A9,2026-04-25T06:51:00,1200.0,DEBIT,subscriptions,Google Workspace subscription,160988.09,retailer,"subscription,recurring"
TXN-77EE4D7FB6AB,2026-04-28T10:31:00,117687.09,DEBIT,salaries,Salaries - Apr 2026,172831.37,retailer,"recurring,fixed_cost"
TXN-C205D35CEAC0,2026-04-02T08:07:00,553.05,DEBIT,maintenance,Equipment maintenance,181192.5,retailer,expense
TXN-A02DCA155D11,2026-04-02T08:25:08,270.66,CREDIT,returns_received,Return from vendor,169309.46,retailer,sale
TXN-824A9826FDED,2026-04-02T08:32:43,187.22,CREDIT,returns_received,Return from vendor,179777.7,retailer,sale
TXN-42867B4955D5,2026-04-02T09:17:30,537.83,CREDIT,product_sales,Counter sale,181058.83,retailer,sale
TXN-161CD25240D1,2026-04-02T09:22:45,423.78,CREDIT,product_sales,POS transaction,175276.54,retailer,sale
TXN-F2251F20C294,2026-04-02T11:08:48,456.77,CREDIT,returns_received,Supplier credit note,169038.8,retailer,sale
TXN-5F1DEC16C072,2026-04-02T11:44:45,761.48,CREDIT,product_sales,Walk-in customer,170467.41,retailer,sale
TXN-8B25C0A57455,2026-04-02T12:09:28,771.75,CREDIT,online_sales,Amazon marketplace,179590.48,retailer,sale
TXN-B46ECF9B1942,2026-04-02T12:30:32,504.05,CREDIT,bulk_order,Wholesale order,168582.03,retailer,sale
TXN-3A039B4D8CED,2026-04-02T13:01:47,412.54,CREDIT,product_sales,Counter sale,176869.42,retailer,sale
TXN-4C80653824E2,2026-04-02T13:38:00,446.77,DEBIT,marketing,Facebook Ads,180745.73,retailer,expense
TXN-08428CF919C8,2026-04-02T14:12:55,404.38,CREDIT,online_sales,Amazon marketplace,181745.55,retailer,sale
TXN-C562EBF6859D,2026-04-02T14:31:58,640.83,CREDIT,online_sales,Website checkout,173639.13,retailer,sale
TXN-FBB15A8D5878,2026-04-02T14:40:54,823.6,CREDIT,product_sales,Counter sale,174852.76,retailer,sale
TXN-35F3E1CA1735,2026-04-02T14:44:13,708.02,CREDIT,online_sales,Amazon marketplace,180521.0,retailer,sale
TXN-F37347C64444,2026-04-02T14:52:46,422.34,CREDIT,online_sales,Online cart,177291.76,retailer,sale
TXN-2E6BA7757AAA,2026-04-02T14:59:55,165.4,CREDIT,returns_received,Return from vendor,175582.21,retailer,sale
TXN-7E3A30394A64,2026-04-02T15:04:21,396.47,CREDIT,online_sales,Website checkout,169705.93,retailer,sale
TXN-04C03A7D1B3D,2026-04-02T15:20:37,304.54,CREDIT,online_sales,Website checkout,171533.64,retailer,sale
TXN-6C1C5997E291,2026-04-02T15:37:10,282.34,CREDIT,returns_received,Return from vendor,181341.17,retailer,sale
TXN-16469679A566,2026-04-02T15:38:00,956.14,DEBIT,logistics,Courier charges,179789.59,retailer,expense
TXN-7A2684E3F855,2026-04-02T16:18:34,534.59,CREDIT,online_sales,Website checkout,176456.88,retailer,sale
TXN-CAEBC99B1ED7,2026-04-02T16:23:36,715.66,CREDIT,product_sales,Counter sale,178007.42,retailer,sale
TXN-523D0C74D90B,2026-04-02T16:40:02,379.88,CREDIT,returns_received,Supplier credit note,167877.05,retailer,sale
TXN-17DA1205C503,2026-04-02T16:48:00,209.11,DEBIT,marketing,Influencer payment,179580.48,retailer,expense
TXN-6B34ACDBA8F9,2026-04-02T17:02:09,200.93,CREDIT,online_sales,Amazon marketplace,168077.98,retailer,sale
TXN-EB8EB6705960,2026-04-02T17:23:23,194.48,CREDIT,bulk_order,Bulk purchase - B2B,178201.9,retailer,sale
TXN-D1913667A62D,2026-04-02T17:37:43,397.19,CREDIT,online_sales,Shopify order,178599.09,retailer,sale
TXN-549A22F889C5,2026-04-02T17:55:41,219.64,CREDIT,product_sales,Walk-in customer,178818.73,retailer,sale
TXN-793F9F55AE50,2026-04-02T18:31:12,370.03,CREDIT,bulk_order,Corporate purchase,174019.16,retailer,sale
